key,units_sold,day_1,day_2,day_3,day_4,day_5
01/01/13_8023.0,2025.0,682.0,535.0,210.0,782.0,1357.0
01/01/13_8058.0,682.0,535.0,210.0,782.0,1357.0,524.0
01/01/13_8063.0,535.0,210.0,782.0,1357.0,524.0,362.0
01/01/13_8091.0,210.0,782.0,1357.0,524.0,362.0,1546.0
01/01/13_8094.0,782.0,1357.0,524.0,362.0,1546.0,597.0
01/01/13_8095.0,1357.0,524.0,362.0,1546.0,597.0,190.0
01/01/13_8121.0,524.0,362.0,1546.0,597.0,190.0,199.0
01/01/13_8218.0,362.0,1546.0,597.0,190.0,199.0,938.0
01/01/13_8222.0,1546.0,597.0,190.0,199.0,938.0,636.0
01/01/13_8317.0,597.0,190.0,199.0,938.0,636.0,412.0
01/01/13_8319.0,190.0,199.0,938.0,636.0,412.0,783.0
01/01/13_8392.0,199.0,938.0,636.0,412.0,783.0,129.0
01/01/13_8398.0,938.0,636.0,412.0,783.0,129.0,997.0
01/01/13_8400.0,636.0,412.0,783.0,129.0,997.0,1368.0
01/01/13_8422.0,412.0,783.0,129.0,997.0,1368.0,404.0
01/01/13_8438.0,783.0,129.0,997.0,1368.0,404.0,868.0
01/01/13_8555.0,129.0,997.0,1368.0,404.0,868.0,12.0
01/01/13_8562.0,997.0,1368.0,404.0,868.0,12.0,645.0
01/01/13_8869.0,1368.0,404.0,868.0,12.0,645.0,504.0
01/01/13_8911.0,404.0,868.0,12.0,645.0,504.0,1690.0
01/01/13_8991.0,868.0,12.0,645.0,504.0,1690.0,290.0
01/01/13_9001.0,12.0,645.0,504.0,1690.0,290.0,913.0
01/01/13_9043.0,645.0,504.0,1690.0,290.0,913.0,1095.0
01/01/13_9092.0,504.0,1690.0,290.0,913.0,1095.0,156.0
01/01/13_9112.0,1690.0,290.0,913.0,1095.0,156.0,555.0
01/01/13_9132.0,290.0,913.0,1095.0,156.0,555.0,377.0
01/01/13_9147.0,913.0,1095.0,156.0,555.0,377.0,1271.0
01/01/13_9164.0,1095.0,156.0,555.0,377.0,1271.0,505.0
01/01/13_9178.0,156.0,555.0,377.0,1271.0,505.0,596.0
01/01/13_9190.0,555.0,377.0,1271.0,505.0,596.0,406.0
01/01/13_9221.0,377.0,1271.0,505.0,596.0,406.0,473.0
01/01/13_9250.0,1271.0,505.0,596.0,406.0,473.0,534.0
01/01/13_9273.0,505.0,596.0,406.0,473.0,534.0,358.0
01/01/13_9279.0,596.0,406.0,473.0,534.0,358.0,705.0
01/01/13_9281.0,406.0,473.0,534.0,358.0,705.0,468.0
01/01/13_9328.0,473.0,534.0,358.0,705.0,468.0,352.0
01/01/13_9371.0,534.0,358.0,705.0,468.0,352.0,222.0
01/01/13_9425.0,358.0,705.0,468.0,352.0,222.0,392.0
01/01/13_9430.0,705.0,468.0,352.0,222.0,392.0,430.0
01/01/13_9432.0,468.0,352.0,222.0,392.0,430.0,658.0
01/01/13_9436.0,352.0,222.0,392.0,430.0,658.0,1216.0
01/01/13_9439.0,222.0,392.0,430.0,658.0,1216.0,456.0
01/01/13_9442.0,392.0,430.0,658.0,1216.0,456.0,404.0
01/01/13_9456.0,430.0,658.0,1216.0,456.0,404.0,637.0
01/01/13_9479.0,658.0,1216.0,456.0,404.0,637.0,440.0
01/01/13_9481.0,1216.0,456.0,404.0,637.0,440.0,1552.0
01/01/13_9490.0,456.0,404.0,637.0,440.0,1552.0,1408.0
01/01/13_9498.0,404.0,637.0,440.0,1552.0,1408.0,320.0
01/01/13_9532.0,637.0,440.0,1552.0,1408.0,320.0,715.0
01/01/13_9578.0,440.0,1552.0,1408.0,320.0,715.0,316.0
01/01/13_9611.0,1552.0,1408.0,320.0,715.0,316.0,94.0
01/01/13_9613.0,1408.0,320.0,715.0,316.0,94.0,958.0
01/01/13_9632.0,320.0,715.0,316.0,94.0,958.0,427.0
01/01/13_9672.0,715.0,316.0,94.0,958.0,427.0,968.0
01/01/13_9680.0,316.0,94.0,958.0,427.0,968.0,250.0
01/01/13_9700.0,94.0,958.0,427.0,968.0,250.0,422.0
01/01/13_9713.0,958.0,427.0,968.0,250.0,422.0,873.0
01/01/13_9731.0,427.0,968.0,250.0,422.0,873.0,294.0
01/01/13_9745.0,968.0,250.0,422.0,873.0,294.0,1328.0
01/01/13_9770.0,250.0,422.0,873.0,294.0,1328.0,671.0
01/01/13_9789.0,422.0,873.0,294.0,1328.0,671.0,1666.0
01/01/13_9809.0,873.0,294.0,1328.0,671.0,1666.0,982.0
01/01/13_9813.0,294.0,1328.0,671.0,1666.0,982.0,368.0
01/01/13_9823.0,1328.0,671.0,1666.0,982.0,368.0,388.0
01/01/13_9837.0,671.0,1666.0,982.0,368.0,388.0,827.0
01/01/13_9845.0,1666.0,982.0,368.0,388.0,827.0,944.0
01/01/13_9872.0,982.0,368.0,388.0,827.0,944.0,929.0
01/01/13_9876.0,368.0,388.0,827.0,944.0,929.0,642.0
01/01/13_9879.0,388.0,827.0,944.0,929.0,642.0,414.0
01/01/13_9880.0,827.0,944.0,929.0,642.0,414.0,1297.0
01/01/13_9881.0,944.0,929.0,642.0,414.0,1297.0,490.0
01/01/13_9890.0,929.0,642.0,414.0,1297.0,490.0,2965.0
01/01/13_9909.0,642.0,414.0,1297.0,490.0,2965.0,881.0
01/01/13_9954.0,414.0,1297.0,490.0,2965.0,881.0,746.0
01/01/13_9961.0,1297.0,490.0,2965.0,881.0,746.0,603.0
01/01/13_9984.0,490.0,2965.0,881.0,746.0,603.0,1354.0
01/05/12_8023.0,2965.0,881.0,746.0,603.0,1354.0,2434.0
01/05/12_8058.0,881.0,746.0,603.0,1354.0,2434.0,797.0
01/05/12_8063.0,746.0,603.0,1354.0,2434.0,797.0,535.0
01/05/12_8091.0,603.0,1354.0,2434.0,797.0,535.0,1600.0
01/05/12_8094.0,1354.0,2434.0,797.0,535.0,1600.0,1066.0
01/05/12_8095.0,2434.0,797.0,535.0,1600.0,1066.0,263.0
01/05/12_8121.0,797.0,535.0,1600.0,1066.0,263.0,240.0
01/05/12_8218.0,535.0,1600.0,1066.0,263.0,240.0,1372.0
01/05/12_8222.0,1600.0,1066.0,263.0,240.0,1372.0,1238.0
01/05/12_8317.0,1066.0,263.0,240.0,1372.0,1238.0,722.0
01/05/12_8319.0,263.0,240.0,1372.0,1238.0,722.0,1524.0
01/05/12_8392.0,240.0,1372.0,1238.0,722.0,1524.0,398.0
01/05/12_8398.0,1372.0,1238.0,722.0,1524.0,398.0,1552.0
01/05/12_8400.0,1238.0,722.0,1524.0,398.0,1552.0,1864.0
01/05/12_8422.0,722.0,1524.0,398.0,1552.0,1864.0,534.0
01/05/12_8438.0,1524.0,398.0,1552.0,1864.0,534.0,1278.0
01/05/12_8555.0,398.0,1552.0,1864.0,534.0,1278.0,78.0
01/05/12_8562.0,1552.0,1864.0,534.0,1278.0,78.0,831.0
01/05/12_8869.0,1864.0,534.0,1278.0,78.0,831.0,670.0
01/05/12_8911.0,534.0,1278.0,78.0,831.0,670.0,2191.0
01/05/12_8991.0,1278.0,78.0,831.0,670.0,2191.0,792.0
01/05/12_9001.0,78.0,831.0,670.0,2191.0,792.0,1120.0
01/05/12_9043.0,831.0,670.0,2191.0,792.0,1120.0,1349.0
01/05/12_9092.0,670.0,2191.0,792.0,1120.0,1349.0,495.0
01/05/12_9112.0,2191.0,792.0,1120.0,1349.0,495.0,912.0
01/05/12_9132.0,792.0,1120.0,1349.0,495.0,912.0,535.0
01/05/12_9147.0,1120.0,1349.0,495.0,912.0,535.0,1555.0
01/05/12_9164.0,1349.0,495.0,912.0,535.0,1555.0,981.0
01/05/12_9178.0,495.0,912.0,535.0,1555.0,981.0,1010.0
01/05/12_9190.0,912.0,535.0,1555.0,981.0,1010.0,486.0
01/05/12_9221.0,535.0,1555.0,981.0,1010.0,486.0,776.0
01/05/12_9250.0,1555.0,981.0,1010.0,486.0,776.0,642.0
01/05/12_9273.0,981.0,1010.0,486.0,776.0,642.0,550.0
01/05/12_9279.0,1010.0,486.0,776.0,642.0,550.0,1248.0
01/05/12_9281.0,486.0,776.0,642.0,550.0,1248.0,688.0
